Closing the Achievement Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,"Metric City Rating - Weighted Diploma Rate, 4 Year - ELL","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - ELL","Population Percentage of Range - Weighted Diploma Rate, 4 Year - ELL","Metric Value - Weighted Diploma Rate, 4 Year - ELL","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Metric Score - Weighted Diploma Rate, 4 Year - ELL","Metric City Rating - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Population Percentage of Range - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Value - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Score - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric City Rating - Percentage in Lowest Third City, College and Career Prep Course Index","Percentage of Enrollment - Percentage in Lowest Third City, College and Career Prep Course Index","Population Percentage of Range - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Value - Percentage in Lowest Third City, College and Career Prep Course Index","Approaching Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Meeting Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Exceeding Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Score - Percentage in Lowest Third City, College and Career Prep Course Index","Metric City Rating - Percentage in Lowest Third City, 4-year Non-Remediation Index","Percentage of Enrollment - Percentage in Lowest Third City, 4-year Non-Remediation Index","Population Percentage of Range - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Value - Percentage in Lowest Third City, 4-year Non-Remediation Index","Approaching Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Meeting Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Exceeding Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Score - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric City Rating - Percentage in Lowest Third City, PER, 6 Months After High School","Percentage of Enrollment - Percentage in Lowest Third City, PER, 6 Months After High School","Population Percentage of Range - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Value - Percentage in Lowest Third City, PER, 6 Months After High School","Approaching Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Meeting Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Exceeding Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Score - Percentage in Lowest Third City, PER, 6 Months After High School",,,,,,,
06M467,High School for Law and Public Service,Meeting Target,41.9%,75.2%,214.1%,103.0%,163.9%,225.7%,3.81,Approaching Target,26.3%,66.8%,156.1%,110.0%,197.0%,285.2%,2.53,Meeting Target,51.1%,76.7%,147.4%,71.2%,127.5%,184.6%,3.35,Meeting Target,33.3%,85.4%,133.9%,65.3%,116.9%,169.2%,3.33,Exceeding Target,51.1%,76.7%,21.1%,7.3%,13.0%,18.9%,4.25,Not Meeting Target,51.1%,76.7%,1.1%,1.4%,2.5%,3.7%,1.79,Exceeding Target,57.7%,94.9%,44.3%,11.4%,20.4%,29.5%,4.99,,,,,,,
06M468,High School for Health Careers and Sciences,Meeting Target,42.3%,75.9%,174.5%,103.0%,163.9%,225.7%,3.17,Approaching Target,25.4%,64.5%,139.4%,110.0%,197.0%,285.2%,2.34,Meeting Target,46.2%,69.4%,130.8%,71.2%,127.5%,184.6%,3.06,Meeting Target,26.9%,69.0%,135.7%,65.3%,116.9%,169.2%,3.36,Approaching Target,46.2%,69.4%,10.0%,7.3%,13.0%,18.9%,2.47,Approaching Target,46.2%,69.4%,1.7%,1.4%,2.5%,3.7%,2.27,Exceeding Target,57.8%,95.1%,34.0%,11.4%,20.4%,29.5%,4.32,,,,,,,
06M540,A. Philip Randolph Campus High School,N/A,3.6%,6.5%,125.0%,103.0%,163.9%,225.7%,,N/A,9.0%,22.8%,125.0%,110.0%,197.0%,285.2%,,N/A,14.3%,21.5%,128.1%,71.2%,127.5%,184.6%,,N/A,6.3%,16.2%,114.3%,65.3%,116.9%,169.2%,,N/A,14.3%,21.5%,6.3%,7.3%,13.0%,18.9%,,N/A,14.3%,21.5%,3.1%,1.4%,2.5%,3.7%,,Meeting Target,19.8%,32.6%,25.9%,11.4%,20.4%,29.5%,3.60,,,,,,,
06M552,Gregorio Luperon High School for Science and Mathe,Exceeding Target,96.8%,100.0%,237.8%,103.0%,163.9%,225.7%,4.13,N/A,1.1%,2.8%,,110.0%,197.0%,285.2%,,Exceeding Target,41.9%,62.9%,229.5%,71.2%,127.5%,184.6%,4.51,Exceeding Target,20.4%,52.3%,239.5%,65.3%,116.9%,169.2%,4.88,Exceeding Target,41.9%,62.9%,66.7%,7.3%,13.0%,18.9%,4.99,Exceeding Target,41.9%,62.9%,10.3%,1.4%,2.5%,3.7%,4.99,Exceeding Target,52.0%,85.5%,34.0%,11.4%,20.4%,29.5%,4.32,,,,,,,
07X221,South Bronx Preparatory: A College Board School,N/A,6.4%,11.5%,320.0%,103.0%,163.9%,225.7%,,Exceeding Target,21.8%,55.3%,382.4%,110.0%,197.0%,285.2%,4.72,Exceeding Target,41.0%,61.6%,289.1%,71.2%,127.5%,184.6%,4.99,Exceeding Target,21.8%,55.9%,326.5%,65.3%,116.9%,169.2%,4.99,Not Meeting Target,41.0%,61.6%,3.1%,7.3%,13.0%,18.9%,1.42,Meeting Target,41.0%,61.6%,3.1%,1.4%,2.5%,3.7%,3.50,Exceeding Target,37.6%,61.8%,50.0%,11.4%,20.4%,29.5%,4.99,,,,,,,
07X223,M.S. 223 The Laboratory School of Finance and Tech,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
07X259,"H.E.R.O. High (Health, Education, and Research Occ",N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
07X334,International Community High School,Meeting Target,97.8%,100.0%,188.8%,103.0%,163.9%,225.7%,3.40,N/A,4.4%,11.2%,,110.0%,197.0%,285.2%,,Meeting Target,57.1%,85.7%,153.8%,71.2%,127.5%,184.6%,3.46,Approaching Target,24.2%,62.1%,81.8%,65.3%,116.9%,169.2%,2.32,Exceeding Target,57.1%,85.7%,19.2%,7.3%,13.0%,18.9%,4.03,Exceeding Target,57.1%,85.7%,19.2%,1.4%,2.5%,3.7%,4.99,Meeting Target,63.8%,100.0%,26.7%,11.4%,20.4%,29.5%,3.69,,,,,,,
07X427,Community School for Social Justice,Approaching Target,24.7%,44.3%,144.4%,103.0%,163.9%,225.7%,2.68,Approaching Target,19.2%,48.7%,164.3%,110.0%,197.0%,285.2%,2.62,Meeting Target,50.7%,76.1%,151.4%,71.2%,127.5%,184.6%,3.42,Meeting Target,27.4%,70.3%,130.0%,65.3%,116.9%,169.2%,3.25,Not Meeting Target,50.7%,76.1%,5.4%,7.3%,13.0%,18.9%,1.74,Exceeding Target,50.7%,76.1%,16.2%,1.4%,2.5%,3.7%,4.99,Exceeding Target,53.9%,88.7%,31.3%,11.4%,20.4%,29.5%,4.13,,,,,,,
07X473,Mott Haven Village Preparatory High School,N/A,9.0%,16.2%,331.3%,103.0%,163.9%,225.7%,,Approaching Target,19.1%,48.5%,129.4%,110.0%,197.0%,285.2%,2.22,Approaching Target,40.4%,60.7%,109.7%,71.2%,127.5%,184.6%,2.68,Approaching Target,22.5%,57.7%,75.0%,65.3%,116.9%,169.2%,2.19,Not Meeting Target,40.4%,60.7%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,40.4%,60.7%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,48.4%,79.6%,22.2%,11.4%,20.4%,29.5%,3.20,,,,,,,
07X495,University Heights Secondary School,N/A,6.1%,11.0%,557.1%,103.0%,163.9%,225.7%,,N/A,7.0%,17.8%,650.0%,110.0%,197.0%,285.2%,,N/A,11.3%,17.0%,438.5%,71.2%,127.5%,184.6%,,N/A,7.0%,17.9%,493.8%,65.3%,116.9%,169.2%,,N/A,11.3%,17.0%,92.3%,7.3%,13.0%,18.9%,,N/A,11.3%,17.0%,92.3%,1.4%,2.5%,3.7%,,N/A,13.3%,21.9%,46.2%,11.4%,20.4%,29.5%,,,,,,,,
07X500,Hostos-Lincoln Academy of Science,N/A,5.3%,9.5%,,103.0%,163.9%,225.7%,,Meeting Target,12.0%,30.5%,233.3%,110.0%,197.0%,285.2%,3.41,Meeting Target,25.3%,38.0%,173.7%,71.2%,127.5%,184.6%,3.81,Meeting Target,10.7%,27.4%,162.5%,65.3%,116.9%,169.2%,3.87,Exceeding Target,25.3%,38.0%,36.8%,7.3%,13.0%,18.9%,4.99,Exceeding Target,25.3%,38.0%,15.8%,1.4%,2.5%,3.7%,4.99,Exceeding Target,15.5%,25.5%,30.8%,11.4%,20.4%,29.5%,4.09,,,,,,,
07X520,Foreign Language Academy of Global Studies,Approaching Target,37.2%,66.8%,125.0%,103.0%,163.9%,225.7%,2.36,Not Meeting Target,37.2%,94.4%,87.5%,110.0%,197.0%,285.2%,1.80,Approaching Target,65.1%,97.7%,114.3%,71.2%,127.5%,184.6%,2.77,Approaching Target,39.5%,100.0%,82.4%,65.3%,116.9%,169.2%,2.33,Not Meeting Target,65.1%,97.7%,3.6%,7.3%,13.0%,18.9%,1.49,Not Meeting Target,65.1%,97.7%,0.0%,1.4%,2.5%,3.7%,1.00,Not Meeting Target,48.1%,79.1%,4.0%,11.4%,20.4%,29.5%,1.35,,,,,,,
07X522,Bronx Design and Construction Academy,Approaching Target,23.8%,42.7%,148.3%,103.0%,163.9%,225.7%,2.74,Approaching Target,29.5%,74.9%,152.8%,110.0%,197.0%,285.2%,2.49,Approaching Target,54.1%,81.2%,97.7%,71.2%,127.5%,184.6%,2.47,Approaching Target,44.3%,100.0%,104.6%,65.3%,116.9%,169.2%,2.76,Not Meeting Target,54.1%,81.2%,3.0%,7.3%,13.0%,18.9%,1.41,Not Meeting Target,54.1%,81.2%,0.0%,1.4%,2.5%,3.7%,1.00,N/A,66.7%,100.0%,,11.4%,20.4%,29.5%,,,,,,,,
07X527,Bronx Leadership Academy II High School,Approaching Target,25.8%,46.3%,159.4%,103.0%,163.9%,225.7%,2.93,Meeting Target,29.8%,75.6%,197.3%,110.0%,197.0%,285.2%,3.00,Meeting Target,60.5%,90.8%,144.7%,71.2%,127.5%,184.6%,3.30,Meeting Target,37.1%,95.1%,151.1%,65.3%,116.9%,169.2%,3.65,Approaching Target,60.5%,90.8%,10.7%,7.3%,13.0%,18.9%,2.60,Exceeding Target,60.5%,90.8%,5.3%,1.4%,2.5%,3.7%,4.94,Exceeding Target,48.1%,79.1%,31.1%,11.4%,20.4%,29.5%,4.12,,,,,,,
07X547,New Explorers High School,Meeting Target,20.8%,37.3%,194.2%,103.0%,163.9%,225.7%,3.49,Approaching Target,28.8%,73.1%,184.7%,110.0%,197.0%,285.2%,2.86,Meeting Target,52.8%,79.3%,150.8%,71.2%,127.5%,184.6%,3.41,Meeting Target,33.6%,86.2%,127.4%,65.3%,116.9%,169.2%,3.20,Approaching Target,52.8%,79.3%,12.1%,7.3%,13.0%,18.9%,2.84,Exceeding Target,52.8%,79.3%,12.1%,1.4%,2.5%,3.7%,4.99,Approaching Target,63.2%,100.0%,12.5%,11.4%,20.4%,29.5%,2.12,,,,,,,
07X548,Urban Assembly School for Careers in Sports,N/A,8.0%,14.4%,200.0%,103.0%,163.9%,225.7%,,Meeting Target,24.8%,62.9%,229.4%,110.0%,197.0%,285.2%,3.37,Exceeding Target,34.3%,51.5%,195.7%,71.2%,127.5%,184.6%,4.13,Exceeding Target,27.0%,69.2%,205.4%,65.3%,116.9%,169.2%,4.45,Not Meeting Target,34.3%,51.5%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,34.3%,51.5%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,42.5%,69.9%,33.8%,11.4%,20.4%,29.5%,4.31,,,,,,,
07X551,The Urban Assembly Bronx Academy of Letters,Approaching Target,15.7%,28.2%,146.2%,103.0%,163.9%,225.7%,2.71,Approaching Target,16.9%,42.9%,178.6%,110.0%,197.0%,285.2%,2.79,Approaching Target,51.8%,77.8%,109.3%,71.2%,127.5%,184.6%,2.68,Meeting Target,26.5%,67.9%,134.1%,65.3%,116.9%,169.2%,3.33,Exceeding Target,51.8%,77.8%,25.6%,7.3%,13.0%,18.9%,4.75,Exceeding Target,51.8%,77.8%,23.3%,1.4%,2.5%,3.7%,4.99,Exceeding Target,44.4%,73.0%,36.1%,11.4%,20.4%,29.5%,4.47,,,,,,,
07X600,Alfred E. Smith Career and Technical Education Hig,N/A,12.3%,22.1%,185.7%,103.0%,163.9%,225.7%,,Meeting Target,26.3%,66.8%,223.3%,110.0%,197.0%,285.2%,3.30,Exceeding Target,45.6%,68.5%,205.8%,71.2%,127.5%,184.6%,4.24,Exceeding Target,40.4%,100.0%,213.0%,65.3%,116.9%,169.2%,4.55,Exceeding Target,45.6%,68.5%,26.9%,7.3%,13.0%,18.9%,4.90,Not Meeting Target,45.6%,68.5%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,72.2%,100.0%,30.0%,11.4%,20.4%,29.5%,4.04,,,,,,,
07X655,Samuel Gompers Career and Technical Education High,Meeting Target,20.3%,36.4%,203.1%,103.0%,163.9%,225.7%,3.63,Approaching Target,26.6%,67.5%,142.9%,110.0%,197.0%,285.2%,2.38,Approaching Target,55.7%,83.6%,101.1%,71.2%,127.5%,184.6%,2.53,Meeting Target,39.2%,100.0%,143.5%,65.3%,116.9%,169.2%,3.51,Approaching Target,55.7%,83.6%,9.1%,7.3%,13.0%,18.9%,2.32,Not Meeting Target,55.7%,83.6%,0.0%,1.4%,2.5%,3.7%,1.00,Not Meeting Target,63.2%,100.0%,10.7%,11.4%,20.4%,29.5%,1.94,,,,,,,
07X670,Health Opportunities High School,Meeting Target,21.8%,39.1%,212.1%,103.0%,163.9%,225.7%,3.78,Approaching Target,24.1%,61.2%,134.4%,110.0%,197.0%,285.2%,2.28,Meeting Target,52.6%,79.0%,130.0%,71.2%,127.5%,184.6%,3.04,Meeting Target,19.5%,50.0%,125.0%,65.3%,116.9%,169.2%,3.15,Meeting Target,52.6%,79.0%,14.3%,7.3%,13.0%,18.9%,3.22,Exceeding Target,52.6%,79.0%,10.0%,1.4%,2.5%,3.7%,4.99,Meeting Target,52.3%,86.0%,20.9%,11.4%,20.4%,29.5%,3.05,,,,,,,
08X269,Bronx Studio School for Writers and Artists,Meeting Target,16.4%,29.4%,181.8%,103.0%,163.9%,225.7%,3.29,Meeting Target,26.9%,68.3%,216.7%,110.0%,197.0%,285.2%,3.22,Meeting Target,38.8%,58.3%,128.8%,71.2%,127.5%,184.6%,3.02,Approaching Target,16.4%,42.1%,109.1%,65.3%,116.9%,169.2%,2.85,Not Meeting Target,38.8%,58.3%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,38.8%,58.3%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,36.9%,60.7%,41.7%,11.4%,20.4%,29.5%,4.88,,,,,,,
08X282,Women's Academy of Excellence,N/A,7.5%,13.5%,71.4%,103.0%,163.9%,225.7%,,Approaching Target,22.6%,57.4%,128.6%,110.0%,197.0%,285.2%,2.21,Approaching Target,41.9%,62.9%,121.8%,71.2%,127.5%,184.6%,2.90,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,Approaching Target,41.9%,62.9%,7.7%,7.3%,13.0%,18.9%,2.07,Exceeding Target,41.9%,62.9%,7.7%,1.4%,2.5%,3.7%,4.99,Meeting Target,44.4%,73.0%,28.1%,11.4%,20.4%,29.5%,3.85,,,,,,,
08X293,Renaissance High School for Musical Theater & Tech,N/A,9.1%,16.3%,216.7%,103.0%,163.9%,225.7%,,Exceeding Target,28.8%,73.1%,331.6%,110.0%,197.0%,285.2%,4.34,Exceeding Target,50.0%,75.1%,209.8%,71.2%,127.5%,184.6%,4.29,Exceeding Target,18.9%,48.5%,262.0%,65.3%,116.9%,169.2%,4.99,Meeting Target,50.0%,75.1%,15.2%,7.3%,13.0%,18.9%,3.37,Approaching Target,50.0%,75.1%,1.5%,1.4%,2.5%,3.7%,2.09,Exceeding Target,42.7%,70.2%,34.0%,11.4%,20.4%,29.5%,4.32,,,,,,,
08X295,Gateway School for Environmental Research and Tech,N/A,11.5%,20.6%,100.0%,103.0%,163.9%,225.7%,,Approaching Target,32.7%,83.0%,135.3%,110.0%,197.0%,285.2%,2.29,Approaching Target,63.5%,95.3%,107.6%,71.2%,127.5%,184.6%,2.65,Meeting Target,40.4%,100.0%,121.4%,65.3%,116.9%,169.2%,3.09,Not Meeting Target,63.5%,95.3%,3.0%,7.3%,13.0%,18.9%,1.41,Not Meeting Target,63.5%,95.3%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,62.4%,100.0%,22.2%,11.4%,20.4%,29.5%,3.20,,,,,,,
08X305,Pablo Neruda Academy,Approaching Target,26.7%,47.9%,123.9%,103.0%,163.9%,225.7%,2.34,Approaching Target,32.6%,82.7%,157.1%,110.0%,197.0%,285.2%,2.54,Approaching Target,53.5%,80.3%,82.6%,71.2%,127.5%,184.6%,2.20,Approaching Target,32.6%,83.6%,75.0%,65.3%,116.9%,169.2%,2.19,Not Meeting Target,53.5%,80.3%,4.3%,7.3%,13.0%,18.9%,1.59,Approaching Target,53.5%,80.3%,2.2%,1.4%,2.5%,3.7%,2.73,Exceeding Target,54.0%,88.8%,31.9%,11.4%,20.4%,29.5%,4.17,,,,,,,
08X312,Millennium Art Academy,N/A,7.7%,13.8%,80.0%,103.0%,163.9%,225.7%,,Meeting Target,26.2%,66.5%,200.0%,110.0%,197.0%,285.2%,3.03,Approaching Target,47.7%,71.6%,127.4%,71.2%,127.5%,184.6%,2.99,Meeting Target,24.6%,63.1%,143.8%,65.3%,116.9%,169.2%,3.51,Not Meeting Target,47.7%,71.6%,1.6%,7.3%,13.0%,18.9%,1.22,Approaching Target,47.7%,71.6%,1.6%,1.4%,2.5%,3.7%,2.18,Meeting Target,45.5%,74.8%,26.0%,11.4%,20.4%,29.5%,3.62,,,,,,,
08X320,Pelham Lab High School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
08X332,Holcombe L. Rucker School of Community Research,N/A,9.0%,16.2%,214.3%,103.0%,163.9%,225.7%,,Approaching Target,20.5%,52.0%,156.3%,110.0%,197.0%,285.2%,2.53,Approaching Target,47.4%,71.2%,127.0%,71.2%,127.5%,184.6%,2.99,Meeting Target,25.6%,65.6%,152.5%,65.3%,116.9%,169.2%,3.68,Exceeding Target,47.4%,71.2%,18.9%,7.3%,13.0%,18.9%,4.00,Exceeding Target,47.4%,71.2%,18.9%,1.4%,2.5%,3.7%,4.99,Approaching Target,50.0%,82.2%,16.7%,11.4%,20.4%,29.5%,2.59,,,,,,,
08X348,Schuylerville Preparatory High School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
08X349,Bronx River High School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
08X367,"Archimedes Academy for Math, Science and Technolog",N/A,7.0%,12.6%,150.0%,103.0%,163.9%,225.7%,,Not Meeting Target,31.4%,79.7%,81.5%,110.0%,197.0%,285.2%,1.74,Approaching Target,53.5%,80.3%,88.0%,71.2%,127.5%,184.6%,2.30,Approaching Target,34.9%,89.5%,96.7%,65.3%,116.9%,169.2%,2.61,Not Meeting Target,53.5%,80.3%,0.0%,7.3%,13.0%,18.9%,1.00,Exceeding Target,53.5%,80.3%,6.5%,1.4%,2.5%,3.7%,4.99,Approaching Target,52.9%,87.0%,17.8%,11.4%,20.4%,29.5%,2.71,,,,,,,
08X376,Antonia Pantoja Preparatory Academy: A College Boa,N/A,10.1%,18.1%,85.7%,103.0%,163.9%,225.7%,,Meeting Target,27.5%,69.8%,200.0%,110.0%,197.0%,285.2%,3.03,Not Meeting Target,34.8%,52.3%,66.7%,71.2%,127.5%,184.6%,1.94,Not Meeting Target,18.8%,48.2%,61.5%,65.3%,116.9%,169.2%,1.94,Not Meeting Target,34.8%,52.3%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,34.8%,52.3%,0.0%,1.4%,2.5%,3.7%,1.00,Approaching Target,38.9%,64.0%,14.3%,11.4%,20.4%,29.5%,2.32,,,,,,,
08X405,Herbert H. Lehman High School,Approaching Target,16.7%,30.0%,151.9%,103.0%,163.9%,225.7%,2.80,Not Meeting Target,26.7%,67.8%,105.4%,110.0%,197.0%,285.2%,1.96,Not Meeting Target,53.9%,80.9%,71.1%,71.2%,127.5%,184.6%,1.99,Not Meeting Target,33.4%,85.6%,64.3%,65.3%,116.9%,169.2%,1.98,Meeting Target,53.9%,80.9%,15.0%,7.3%,13.0%,18.9%,3.34,Approaching Target,53.9%,80.9%,1.8%,1.4%,2.5%,3.7%,2.36,Approaching Target,46.7%,76.8%,17.6%,11.4%,20.4%,29.5%,2.69,,,,,,,
08X432,BRONX BRIDGES HIGH SCHOOL,Meeting Target,93.0%,100.0%,168.8%,103.0%,163.9%,225.7%,3.08,Approaching Target,15.1%,38.3%,192.3%,110.0%,197.0%,285.2%,2.95,Meeting Target,67.4%,100.0%,148.3%,71.2%,127.5%,184.6%,3.36,Approaching Target,36.0%,92.3%,103.2%,65.3%,116.9%,169.2%,2.73,Meeting Target,67.4%,100.0%,13.8%,7.3%,13.0%,18.9%,3.14,Approaching Target,67.4%,100.0%,1.7%,1.4%,2.5%,3.7%,2.27,Exceeding Target,60.3%,99.2%,34.1%,11.4%,20.4%,29.5%,4.33,,,,,,,
08X452,Bronx Guild,N/A,7.9%,14.2%,220.0%,103.0%,163.9%,225.7%,,Meeting Target,33.3%,84.5%,211.9%,110.0%,197.0%,285.2%,3.17,Approaching Target,61.9%,92.9%,121.8%,71.2%,127.5%,184.6%,2.90,Meeting Target,36.5%,93.6%,158.7%,65.3%,116.9%,169.2%,3.80,Not Meeting Target,61.9%,92.9%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,61.9%,92.9%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,60.8%,100.0%,24.4%,11.4%,20.4%,29.5%,3.44,,,,,,,
08X519,Felisa Rincon de Gautier Institute for Law and Pub,N/A,9.4%,16.9%,55.6%,103.0%,163.9%,225.7%,,Approaching Target,25.0%,63.5%,112.5%,110.0%,197.0%,285.2%,2.03,Approaching Target,53.1%,79.7%,100.0%,71.2%,127.5%,184.6%,2.51,Approaching Target,19.8%,50.8%,84.2%,65.3%,116.9%,169.2%,2.37,Not Meeting Target,53.1%,79.7%,5.9%,7.3%,13.0%,18.9%,1.81,Approaching Target,53.1%,79.7%,2.0%,1.4%,2.5%,3.7%,2.55,Approaching Target,64.0%,100.0%,14.5%,11.4%,20.4%,29.5%,2.34,,,,,,,
08X530,Banana Kelly High School,Not Meeting Target,21.1%,37.9%,102.2%,103.0%,163.9%,225.7%,1.99,Approaching Target,34.9%,88.6%,155.3%,110.0%,197.0%,285.2%,2.52,Approaching Target,59.6%,89.5%,122.3%,71.2%,127.5%,184.6%,2.91,Meeting Target,41.3%,100.0%,134.4%,65.3%,116.9%,169.2%,3.33,Meeting Target,59.6%,89.5%,15.4%,7.3%,13.0%,18.9%,3.41,Exceeding Target,59.6%,89.5%,13.8%,1.4%,2.5%,3.7%,4.99,Approaching Target,69.4%,100.0%,20.0%,11.4%,20.4%,29.5%,2.96,,,,,,,
08X558,Westchester Square Academy,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
