Additional Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,Average Score Regents Algebra,Percentage Passing Regents Algebra,Percentage at college ready threshold Regents Algebra,Average Score Regents Geometry,Percentage Passing Regents Geometry,Percentage at college ready threshold Regents Geometry,Average Score Regents Algebra 2/Trig,Percentage Passing Regents Algebra 2/Trig,Percentage at college ready threshold Regents Algebra 2/Trig,Average Score Regents English,Percentage Passing Regents English,Percentage at college ready threshold Regents English,Average Score Regents US History,Percentage Passing Regents US History,Average Score Regents Global History,Percentage Passing Regents Global History,Average Score Regents Chemistry,Percentage Passing Regents Chemistry,Average Score Regents Physics,Percentage Passing Regents Physics,Average Score Regents Earth Science,Percentage Passing Regents Earth Science,Average Score Regents Living Environment,Percentage Passing Regents Living Environment,Average Score Regents Languages Other Than English,Percentage Passing Regents Languages Other Than English,Average Score SAT Math,Percentage of 4-year Cohort Taking SAT Math,Percentage College Ready SAT Math,Average Score SAT Critical Reading,Percentage of 4-year Cohort Taking SAT Critical Reading,Percentage College Ready SAT Critical Reading,Average Score SAT Writing,Percentage of 4-year Cohort Taking SAT Writing,Average Score ACT Math,Percentage of 4-year Cohort Taking ACT Math,Percentage College Ready ACT Math,Average Score ACT English,Percentage of 4-year Cohort Taking ACT English,Percentage College Ready ACT English,Average Score ACT Reading,Percentage of 4-year Cohort Taking ACT Reading,Average Score ACT Science,Percentage of 4-year Cohort Taking ACT Science,Average Score CUNY Math 1,Percentage of 4-year Cohort Taking CUNY Math 1,Average Score CUNY Math 2,Percentage of 4-year Cohort Taking CUNY Math 2,Percentage College Ready CUNY Math 2,Average Score CUNY Reading,Percentage of 4-year Cohort Taking CUNY Reading,Percentage College Ready CUNY Reading,Average Score CUNY Writing,Percentage of 4-year Cohort Taking CUNY Writing,Percentage College Ready CUNY Writing,Post-secondary Enrollment Rate (6 months),Post-secondary Enrollment Rate (18 months),CUNY 2-Year (6 months),CUNY 2-Year (18 months),CUNY 4-Year (6 months),CUNY 4-Year (18 months),NYS Public (6 months),NYS Public (18 months),NYS Private (6 months),NYS Private (18 months),Out of State (6 months),Out of State (18 months),Public Service (6 months),Public Service (18 months),Vocational Program (6 months),Vocational Program (18 months),CRI (Percentage of 4 year Cohort),CRI (Percentage of 6 year Cohort),Percentage Attaining Regents Diploma (4 year),Percentage Attaining Regents Diploma (6 year),Percentage Attaining Math College Readiness Standard,Percentage Attaining Math College Readiness Standard (6 year),Percentage Attaining English College Readiness Standard,Percentage Attaining English College Readiness Standard (6 year),College and Career Preparatory Course Index,"Percentage Scoring 65+ on Alg2, MathB, Chem, or Phys Regents Exam",Percentage Scoring 3+ on any AP Exam,Percentage Scoring 4+ on any IB Exam,Percentage Earning a Diploma with a CTE Endorsement,Percentage Passing an Industry-Recognized Technical Assessment,Percentage Earning a Diploma with an Arts Endorsement,Percentage Earning a Grade of 'C' or Higher for College Credit,Percentage Passing a CPCC Course
07X495,University Heights Secondary School,,,,,,,,,,76,89.3%,59.3%,,,,,,,,,,,,,,,420,87.8%,100.0%,446,87.8%,100.0%,424,87.8%,18,19.1%,100.0%,18,19.1%,100.0%,20,16.5%,19,19.1%,47,43.5%,32,56.5%,100.0%,74,20.0%,100.0%,56,18.3%,100.0%,76.5%,77.9%,36.7%,42.7%,12.2%,13.0%,15.3%,9.9%,10.2%,9.9%,1.0%,0.8%,0.0%,0.0%,0.0%,0.0%,86.1%,63.4%,97.4%,88.5%,85.2%,40.5%,77.4%,52.7%,93.0%,0.0%,5.2%,0.0%,0.0%,0.9%,0.0%,84.3%,0.0%
07X500,Hostos-Lincoln Academy of Science,63,43.1%,3.4%,76,86.2%,35.6%,60,47.4%,14.0%,78,88.2%,67.6%,82,94.4%,71,76.6%,67,66.2%,77,88.9%,60,48.5%,81,94.8%,,,463,80.0%,100.0%,451,80.0%,100.0%,435,80.0%,,4.0%,100.0%,,4.0%,100.0%,,4.0%,,4.0%,,16.0%,39,25.3%,100.0%,,12.0%,100.0%,,12.0%,100.0%,59.5%,71.4%,17.9%,26.0%,28.6%,18.2%,3.6%,13.0%,4.8%,3.9%,2.4%,3.9%,0.0%,0.0%,0.0%,0.0%,52.0%,29.9%,78.7%,81.8%,56.0%,28.6%,78.7%,72.7%,73.3%,40.0%,9.3%,0.0%,0.0%,0.0%,0.0%,69.3%,0.0%
07X520,Foreign Language Academy of Global Studies,60,41.5%,1.9%,,,,,,,68,65.8%,44.7%,62,57.6%,53,29.4%,54,11.8%,,,,,59,32.4%,,,,32.6%,0.0%,,32.6%,100.0%,,32.6%,,7.0%,0.0%,,7.0%,0.0%,,7.0%,,7.0%,,11.6%,,11.6%,0.0%,,7.0%,100.0%,,7.0%,100.0%,34.6%,48.9%,9.6%,23.3%,7.7%,3.3%,9.6%,8.9%,1.9%,5.6%,1.9%,4.4%,0.0%,0.0%,0.0%,0.0%,2.3%,4.4%,37.2%,55.6%,2.3%,4.4%,32.6%,41.1%,9.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,9.3%,0.0%
07X522,Bronx Design and Construction Academy,61,38.8%,1.7%,60,37.8%,5.4%,39,0.0%,0.0%,68,64.3%,40.6%,67,60.0%,55,32.7%,52,13.0%,,,,,69,62.9%,,,,0.8%,0.0%,,0.8%,0.0%,,0.8%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,43,21.3%,27,23.0%,100.0%,73,16.4%,100.0%,55,16.4%,100.0%,,,,,,,,,,,,,,,,,2.5%,,37.7%,,4.1%,,25.4%,,16.4%,0.8%,0.8%,0.0%,9.0%,9.0%,0.0%,10.7%,0.0%
07X527,Bronx Leadership Academy II High School,65,63.4%,6.8%,64,56.2%,6.6%,54,28.3%,8.7%,62,52.5%,21.5%,72,75.2%,57,42.2%,,,,,,,66,63.3%,81,93.8%,384,61.3%,100.0%,355,61.3%,100.0%,361,61.3%,17,54.0%,100.0%,13,54.0%,100.0%,14,39.5%,16,51.6%,33,32.3%,32,37.9%,100.0%,65,27.4%,100.0%,52,27.4%,100.0%,51.9%,60.2%,10.4%,31.6%,15.6%,17.3%,20.1%,4.1%,3.2%,6.1%,1.9%,1.0%,0.0%,0.0%,0.0%,0.0%,16.9%,13.3%,54.8%,60.2%,22.6%,14.3%,36.3%,44.9%,20.2%,11.3%,1.6%,0.0%,0.0%,0.0%,0.0%,15.3%,0.0%
07X547,New Explorers High School,65,62.7%,5.1%,,,,,,,69,72.9%,36.5%,72,72.7%,57,30.2%,,,,,54,20.0%,67,71.4%,94,100.0%,390,30.4%,100.0%,398,30.4%,100.0%,376,30.4%,,1.6%,100.0%,,1.6%,0.0%,,1.6%,,1.6%,,10.4%,,10.4%,0.0%,,6.4%,100.0%,,5.6%,100.0%,23.7%,40.7%,3.9%,17.4%,1.3%,3.5%,2.6%,7.0%,9.2%,5.8%,1.3%,3.5%,0.0%,0.0%,0.0%,0.0%,20.0%,7.0%,52.8%,50.0%,12.0%,8.1%,33.6%,27.9%,22.4%,2.4%,4.0%,0.0%,0.0%,0.0%,0.8%,6.4%,0.0%
07X548,Urban Assembly School for Careers in Sports,63,54.3%,2.5%,58,33.3%,2.1%,38,5.6%,0.0%,72,80.9%,44.6%,73,80.9%,62,55.6%,56,29.2%,,,60,45.3%,66,62.7%,95,100.0%,402,55.5%,100.0%,405,55.5%,100.0%,395,55.5%,,0.7%,0.0%,,0.7%,0.0%,,0.7%,,0.7%,37,26.3%,30,32.8%,100.0%,73,19.0%,100.0%,55,20.4%,100.0%,55.6%,54.0%,15.7%,13.0%,2.0%,6.0%,22.9%,21.0%,6.5%,9.0%,5.2%,3.0%,2.0%,2.0%,1.3%,0.0%,16.1%,8.0%,73.0%,63.0%,19.0%,15.0%,48.2%,32.0%,9.5%,7.3%,0.7%,0.0%,0.0%,0.0%,0.0%,4.4%,0.0%
07X551,The Urban Assembly Bronx Academy of Letters,62,38.1%,0.0%,61,21.2%,6.1%,,,,70,75.3%,44.2%,73,78.0%,65,63.2%,64,44.4%,,,65,52.5%,70,70.1%,,,398,57.8%,100.0%,400,57.8%,100.0%,405,57.8%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,35,24.1%,31,31.3%,100.0%,,14.5%,100.0%,,14.5%,100.0%,50.6%,73.7%,17.3%,26.3%,8.6%,13.2%,8.6%,9.2%,0.0%,7.9%,13.6%,17.1%,0.0%,0.0%,0.0%,0.0%,34.9%,17.1%,57.8%,82.9%,14.5%,18.4%,51.8%,60.5%,38.6%,2.4%,19.3%,0.0%,0.0%,0.0%,0.0%,2.4%,0.0%
07X600,Alfred E. Smith Career and Technical Education Hig,61,44.8%,1.8%,59,36.4%,0.0%,,,,69,71.1%,45.6%,69,71.6%,54,24.6%,,,,,54,39.2%,64,58.7%,,,390,29.8%,100.0%,373,29.8%,100.0%,371,29.8%,,3.5%,100.0%,,3.5%,0.0%,,3.5%,,3.5%,,24.6%,28,26.3%,100.0%,,21.1%,100.0%,,21.1%,100.0%,32.0%,28.0%,10.3%,14.0%,0.0%,2.0%,8.2%,7.5%,10.3%,2.5%,2.1%,1.5%,0.0%,0.0%,0.0%,0.0%,12.3%,6.5%,54.4%,55.5%,12.3%,9.5%,38.6%,37.0%,29.8%,5.3%,1.8%,0.0%,28.1%,28.1%,0.0%,7.0%,0.0%
07X655,Samuel Gompers Career and Technical Education High,,,,,,,,,,56,34.6%,7.7%,57,50.0%,55,33.3%,,,,,,,61,47.1%,,,,15.2%,100.0%,,15.2%,100.0%,,15.2%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,6.3%,,7.6%,100.0%,,5.1%,100.0%,,5.1%,0.0%,19.5%,25.1%,4.5%,7.5%,3.0%,4.8%,6.8%,2.1%,1.5%,7.0%,2.3%,1.6%,0.0%,0.0%,0.0%,0.0%,3.8%,4.8%,36.7%,36.9%,6.3%,4.8%,17.7%,26.7%,20.3%,5.1%,0.0%,0.0%,0.0%,16.5%,0.0%,0.0%,0.0%
07X670,Health Opportunities High School,62,49.6%,1.5%,63,48.6%,8.1%,53,26.3%,5.3%,74,76.6%,62.1%,67,67.6%,72,73.2%,,,,,68,67.3%,65,59.7%,,,374,57.9%,100.0%,386,57.9%,100.0%,382,57.9%,,4.5%,100.0%,,4.5%,100.0%,,4.5%,,4.5%,29,34.6%,26,38.3%,100.0%,66,18.8%,100.0%,49,18.8%,100.0%,39.8%,57.1%,11.7%,20.7%,9.4%,12.9%,6.3%,7.9%,7.0%,10.0%,3.1%,5.0%,0.0%,0.0%,0.0%,0.0%,30.8%,31.4%,53.4%,65.7%,14.3%,15.7%,46.6%,50.0%,36.1%,6.0%,13.5%,0.0%,0.0%,0.0%,0.0%,12.0%,0.0%
08X269,Bronx Studio School for Writers and Artists,64,53.5%,6.3%,54,17.8%,1.0%,34,0.0%,0.0%,76,86.8%,52.9%,75,79.7%,62,46.1%,49,4.2%,,,,,69,71.1%,,,417,71.6%,100.0%,412,71.6%,100.0%,403,71.6%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,36,37.3%,30,44.8%,100.0%,,20.9%,100.0%,,20.9%,100.0%,49.2%,58.1%,13.8%,14.9%,6.2%,6.8%,15.4%,20.3%,3.1%,9.5%,7.7%,5.4%,0.0%,0.0%,0.0%,0.0%,17.9%,8.1%,62.7%,71.6%,20.9%,9.5%,58.2%,50.0%,9.0%,6.0%,3.0%,0.0%,0.0%,0.0%,0.0%,4.5%,0.0%
08X282,Women's Academy of Excellence,59,36.9%,1.2%,67,61.3%,22.6%,,,,71,76.9%,44.4%,64,55.0%,55,30.7%,69,79.2%,,,,,63,45.2%,,,386,45.2%,100.0%,390,45.2%,100.0%,389,45.2%,,3.2%,0.0%,,3.2%,0.0%,,3.2%,,3.2%,,11.8%,37,17.2%,100.0%,,11.8%,100.0%,,11.8%,100.0%,48.6%,59.6%,13.9%,19.1%,18.1%,13.5%,6.9%,7.9%,8.3%,12.4%,0.0%,6.7%,0.0%,0.0%,0.0%,0.0%,26.9%,13.5%,59.1%,68.5%,11.8%,14.6%,36.6%,43.8%,31.2%,11.8%,0.0%,0.0%,0.0%,0.0%,0.0%,9.7%,0.0%
08X293,Renaissance High School for Musical Theater & Tech,61,43.9%,1.3%,57,27.4%,0.9%,40,8.0%,0.0%,73,80.3%,54.4%,80,88.5%,70,74.6%,71,65.0%,,,65,55.7%,69,72.3%,91,100.0%,390,52.3%,100.0%,411,52.3%,100.0%,393,52.3%,,0.8%,0.0%,,0.8%,100.0%,,0.0%,,0.8%,31,19.7%,29,24.2%,100.0%,,10.6%,100.0%,,10.6%,100.0%,64.5%,63.5%,12.7%,19.2%,9.1%,4.8%,2.7%,5.8%,30.9%,23.1%,9.1%,7.7%,0.0%,0.0%,0.0%,0.0%,12.1%,7.7%,71.2%,79.8%,12.9%,6.7%,47.0%,57.7%,31.8%,9.8%,5.3%,0.0%,0.0%,0.0%,0.0%,25.0%,18.9%
08X295,Gateway School for Environmental Research and Tech,,,,,,,,,,64,73.1%,19.2%,68,59.3%,57,33.3%,,,,,,,60,18.8%,,,,21.2%,0.0%,,21.2%,100.0%,,21.2%,,1.9%,0.0%,,1.9%,0.0%,,1.9%,,1.9%,,9.6%,,9.6%,0.0%,,5.8%,0.0%,,5.8%,0.0%,31.7%,30.0%,16.8%,9.2%,5.9%,7.5%,6.9%,9.2%,1.0%,2.5%,1.0%,1.7%,0.0%,0.0%,0.0%,0.0%,1.9%,7.6%,26.9%,40.3%,5.8%,9.2%,19.2%,31.1%,3.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.8%,0.0%
08X305,Pablo Neruda Academy,58,25.2%,3.4%,44,11.9%,2.4%,,,,62,58.4%,18.6%,57,43.8%,49,16.8%,,,,,,,56,22.7%,,,394,44.2%,100.0%,384,44.2%,100.0%,383,44.2%,,7.0%,100.0%,,7.0%,0.0%,,7.0%,,7.0%,31,24.4%,31,29.1%,100.0%,61,19.8%,100.0%,48,19.8%,100.0%,44.8%,37.1%,25.3%,20.2%,3.4%,1.1%,4.6%,4.5%,8.0%,4.5%,3.4%,4.5%,0.0%,0.0%,0.0%,0.0%,8.1%,6.7%,31.4%,52.8%,12.8%,9.0%,26.7%,31.5%,12.8%,3.5%,2.3%,0.0%,0.0%,0.0%,0.0%,10.5%,0.0%
08X312,Millennium Art Academy,64,54.5%,2.4%,62,40.0%,1.3%,53,26.9%,3.8%,71,80.9%,43.3%,66,65.6%,64,55.2%,60,46.7%,,,57,37.1%,68,72.7%,91,100.0%,396,39.2%,100.0%,413,39.2%,100.0%,395,39.2%,,4.6%,100.0%,,4.6%,100.0%,,4.6%,,4.6%,28,12.3%,30,16.2%,100.0%,,8.5%,100.0%,,9.2%,100.0%,45.5%,52.7%,28.2%,25.9%,7.3%,7.1%,0.9%,2.7%,1.8%,11.6%,0.9%,3.6%,0.0%,0.0%,0.0%,0.0%,10.8%,13.4%,55.4%,69.6%,11.5%,15.2%,36.9%,53.6%,12.3%,8.5%,8.5%,0.0%,0.0%,0.0%,0.0%,3.1%,0.0%
08X320,Pelham Lab High School,58,29.8%,0.0%,,,,44,10.0%,2.5%,77,89.2%,59.5%,,,69,67.1%,,,,,61,44.9%,62,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X332,Holcombe L. Rucker School of Community Research,61,43.9%,2.4%,,,,,,,67,64.2%,35.8%,63,54.8%,56,34.3%,,,,,57,25.0%,64,57.5%,,,376,59.0%,100.0%,372,59.0%,100.0%,369,59.0%,,10.3%,0.0%,,10.3%,0.0%,,10.3%,,10.3%,35,28.2%,29,33.3%,100.0%,66,20.5%,100.0%,52,19.2%,100.0%,31.9%,37.2%,13.9%,14.0%,4.2%,3.5%,4.2%,5.8%,5.6%,10.5%,1.4%,2.3%,0.0%,0.0%,0.0%,0.0%,26.9%,1.2%,50.0%,55.8%,7.7%,2.3%,33.3%,22.1%,28.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.1%,0.0%
08X348,Schuylerville Preparatory High School,61,47.1%,0.0%,62,32.5%,2.5%,,,,71,75.9%,48.1%,,,70,68.0%,,,,,,,74,84.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X349,Bronx River High School,66,64.2%,2.8%,67,65.4%,3.8%,,,,,,,,,58,42.7%,,,,,59,36.9%,60,37.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X367,"Archimedes Academy for Math, Science and Technolog",64,56.3%,8.7%,62,43.8%,6.3%,51,12.0%,4.0%,65,55.3%,27.7%,62,49.0%,56,33.1%,50,21.1%,,,50,10.0%,59,39.8%,97,100.0%,418,51.2%,100.0%,430,51.2%,100.0%,403,51.2%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,40,20.9%,31,25.6%,100.0%,,11.6%,100.0%,,11.6%,100.0%,32.9%,,7.1%,,3.5%,,11.8%,,5.9%,,4.7%,,0.0%,,0.0%,,14.0%,,48.8%,,16.3%,,33.7%,,7.0%,5.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.2%
08X376,Antonia Pantoja Preparatory Academy: A College Boa,64,58.2%,7.3%,,,,,,,69,78.3%,43.5%,67,62.3%,55,34.1%,,,,,,,61,49.3%,,,435,44.9%,100.0%,415,44.9%,100.0%,423,44.9%,19,26.1%,100.0%,16,26.1%,100.0%,18,26.1%,19,26.1%,,11.6%,,20.3%,100.0%,,7.2%,100.0%,,7.2%,100.0%,44.4%,,25.9%,,9.3%,,7.4%,,0.0%,,0.0%,,0.0%,,0.0%,,23.2%,,55.1%,,26.1%,,44.9%,,15.9%,7.2%,7.2%,0.0%,0.0%,0.0%,0.0%,7.2%,0.0%
08X405,Herbert H. Lehman High School,63,52.9%,6.2%,55,26.5%,5.4%,62,51.4%,29.7%,65,65.1%,30.7%,64,53.3%,56,30.3%,55,17.7%,60,48.2%,54,28.3%,62,48.5%,89,97.9%,426,28.9%,100.0%,419,28.9%,100.0%,407,28.9%,19,3.5%,100.0%,18,3.5%,100.0%,18,3.2%,18,3.5%,34,9.5%,33,13.0%,100.0%,73,10.7%,100.0%,51,10.8%,100.0%,35.8%,48.6%,13.5%,18.9%,9.9%,9.6%,5.7%,7.3%,4.6%,8.2%,1.4%,2.4%,0.0%,0.0%,0.0%,0.0%,10.8%,17.4%,36.2%,57.3%,13.5%,19.3%,29.7%,45.0%,33.1%,7.2%,6.2%,0.0%,0.0%,0.3%,0.0%,30.5%,2.7%
08X432,BRONX BRIDGES HIGH SCHOOL,62,46.8%,6.5%,46,16.3%,4.1%,33,0.0%,0.0%,57,44.6%,18.0%,52,34.6%,47,19.0%,47,10.8%,,,,,56,29.2%,86,95.7%,,1.2%,100.0%,,1.2%,0.0%,,1.2%,15,66.3%,100.0%,12,66.3%,100.0%,14,53.5%,16,66.3%,27,43.0%,25,48.8%,100.0%,50,34.9%,100.0%,41,34.9%,100.0%,45.6%,,19.1%,,8.8%,,11.8%,,5.9%,,0.0%,,0.0%,,0.0%,,5.8%,,47.7%,,9.3%,,19.8%,,25.6%,3.5%,19.8%,0.0%,0.0%,0.0%,0.0%,3.5%,0.0%
08X452,Bronx Guild,61,35.2%,0.0%,,,,,,,67,63.0%,21.9%,73,75.6%,55,29.2%,,,,,,,63,52.4%,,,365,41.3%,100.0%,393,41.3%,100.0%,357,41.3%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,29,30.2%,22,30.2%,0.0%,,22.2%,100.0%,,22.2%,100.0%,33.8%,43.2%,18.9%,20.5%,2.7%,2.3%,9.5%,12.5%,1.4%,1.1%,0.0%,3.4%,0.0%,0.0%,0.0%,0.0%,1.6%,3.4%,41.3%,48.9%,3.2%,3.4%,27.0%,33.0%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.2%,0.0%
08X519,Felisa Rincon de Gautier Institute for Law and Pub,56,24.5%,0.0%,52,9.4%,0.0%,41,6.3%,6.3%,63,59.1%,26.1%,63,59.6%,52,26.6%,51,4.5%,,,40,3.7%,57,33.0%,,,389,31.3%,100.0%,408,31.3%,100.0%,413,31.3%,,2.1%,0.0%,,2.1%,0.0%,,2.1%,,2.1%,,13.5%,28,15.6%,100.0%,,10.4%,100.0%,,10.4%,100.0%,23.3%,32.1%,4.7%,15.1%,5.8%,2.8%,0.0%,2.8%,5.8%,8.5%,0.0%,0.9%,0.0%,0.0%,0.0%,0.0%,6.3%,9.4%,40.6%,45.3%,8.3%,6.6%,29.2%,28.3%,14.6%,3.1%,0.0%,0.0%,0.0%,1.0%,0.0%,7.3%,11.5%
08X530,Banana Kelly High School,58,27.8%,2.2%,,,,,,,59,46.8%,11.7%,64,55.8%,58,43.1%,,,,,,,64,55.9%,,,378,25.7%,100.0%,391,25.7%,100.0%,378,25.7%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,12.8%,,12.8%,0.0%,,11.0%,100.0%,,11.0%,100.0%,25.0%,32.3%,13.9%,12.9%,3.7%,4.8%,2.8%,9.7%,2.8%,1.6%,0.0%,1.6%,0.0%,0.0%,0.0%,0.0%,16.5%,3.2%,31.2%,41.1%,2.8%,4.0%,22.9%,32.3%,19.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.5%,0.0%
08X558,Westchester Square Academy,66,61.6%,10.4%,60,43.9%,5.3%,,,,72,74.8%,55.0%,76,81.2%,65,54.4%,59,25.5%,,,56,34.4%,65,59.7%,79,79.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X559,School for Tourism and Hospitality,67,61.0%,8.1%,,,,,,,72,75.0%,53.9%,60,35.5%,60,46.0%,,,,,55,32.1%,66,63.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X561,Bronx Compass High School,57,25.2%,0.6%,56,24.2%,0.0%,,,,67,66.1%,36.2%,59,38.5%,54,28.4%,,,,,,,60,42.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08X650,Jane Addams High School for Academic Careers,65,68.4%,5.3%,,,,,,,61,57.1%,19.0%,59,40.5%,61,44.4%,,,,,,,61,58.3%,,,342,42.0%,100.0%,360,42.0%,100.0%,354,42.0%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,30,26.1%,24,29.5%,100.0%,,14.8%,100.0%,,15.9%,100.0%,25.2%,36.2%,9.0%,15.5%,7.1%,7.2%,4.5%,6.3%,1.9%,3.9%,1.3%,1.4%,0.0%,0.0%,0.0%,0.0%,2.3%,7.7%,38.6%,44.0%,4.5%,9.2%,34.1%,26.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
09X227,Bronx Collegiate Academy,64,58.2%,2.5%,69,72.4%,13.8%,43,15.0%,5.0%,66,65.5%,26.4%,70,69.4%,57,35.1%,,,,,70,82.4%,63,50.0%,85,89.5%,395,45.5%,100.0%,401,45.5%,100.0%,382,45.5%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,31,24.8%,32,34.7%,100.0%,66,27.7%,100.0%,54,26.7%,100.0%,36.6%,43.0%,12.9%,14.0%,5.0%,6.5%,11.9%,9.7%,3.0%,7.5%,2.0%,4.3%,0.0%,0.0%,0.0%,0.0%,11.9%,11.8%,49.5%,52.7%,17.8%,18.3%,27.7%,30.1%,20.8%,12.9%,6.9%,0.0%,0.0%,0.0%,0.0%,10.9%,0.0%
09X231,Eagle Academy for Young Men,62,50.8%,5.0%,57,27.3%,3.0%,,,,69,76.4%,34.9%,70,69.3%,60,45.2%,62,25.0%,,,57,33.3%,62,49.1%,,,398,65.7%,100.0%,410,65.7%,100.0%,397,65.7%,,1.0%,0.0%,,1.0%,0.0%,,1.0%,,1.0%,,10.5%,,11.4%,100.0%,,5.7%,100.0%,,5.7%,100.0%,59.0%,61.0%,5.7%,11.0%,8.6%,11.0%,25.7%,15.9%,16.2%,14.6%,1.9%,6.1%,0.0%,0.0%,0.0%,0.0%,14.3%,13.4%,62.9%,67.1%,14.3%,15.9%,59.0%,45.1%,21.9%,15.2%,7.6%,0.0%,0.0%,0.0%,0.0%,13.3%,0.0%
09X241,Urban Assembly School for Applied Math and Science,66,61.0%,10.2%,74,84.0%,28.0%,57,37.5%,12.5%,75,86.3%,58.9%,82,93.0%,74,78.7%,,,,,65,55.6%,66,60.8%,90,100.0%,445,87.8%,100.0%,418,87.8%,100.0%,422,87.8%,,12.2%,100.0%,,12.2%,100.0%,,4.9%,,12.2%,33,29.3%,22,29.3%,0.0%,,17.1%,100.0%,,17.1%,100.0%,55.8%,76.9%,12.8%,19.2%,17.4%,26.9%,11.6%,7.7%,10.5%,19.2%,3.5%,2.6%,0.0%,0.0%,0.0%,0.0%,37.8%,32.1%,80.5%,82.1%,40.2%,33.3%,68.3%,71.8%,59.8%,28.0%,11.0%,0.0%,0.0%,0.0%,0.0%,3.7%,30.5%
09X250,Eximius College Preparatory Academy: A College Boa,63,48.6%,2.9%,53,22.7%,0.0%,59,44.6%,14.3%,75,85.6%,61.4%,74,77.8%,59,44.3%,56,25.0%,61,36.8%,63,41.4%,62,48.6%,84,100.0%,400,78.2%,100.0%,391,78.2%,100.0%,397,78.2%,19,22.6%,100.0%,18,22.6%,100.0%,19,22.6%,19,22.6%,32,47.4%,27,51.9%,100.0%,66,29.3%,100.0%,51,29.3%,100.0%,78.1%,67.6%,30.1%,22.1%,16.4%,14.7%,19.2%,17.6%,4.1%,8.8%,1.4%,4.4%,0.0%,0.0%,0.0%,0.0%,27.1%,26.5%,78.2%,77.9%,27.8%,27.9%,65.4%,67.6%,32.3%,18.0%,8.3%,0.0%,0.0%,0.0%,0.0%,24.1%,0.0%
09X252,Mott Hall Bronx High School,63,47.7%,4.5%,53,13.7%,0.0%,45,8.7%,0.0%,74,80.8%,60.6%,76,87.8%,59,46.2%,52,7.7%,,,67,64.4%,67,68.8%,75,83.3%,417,46.2%,100.0%,399,46.2%,100.0%,398,46.2%,17,71.4%,100.0%,15,71.4%,100.0%,16,45.1%,17,71.4%,34,22.0%,25,22.0%,0.0%,,12.1%,100.0%,,13.2%,100.0%,50.0%,79.3%,16.7%,24.1%,8.3%,14.9%,15.5%,19.5%,7.1%,14.9%,0.0%,4.6%,0.0%,0.0%,0.0%,0.0%,18.7%,18.4%,70.3%,80.5%,25.3%,18.4%,50.5%,59.8%,26.4%,8.8%,0.0%,24.2%,0.0%,0.0%,0.0%,1.1%,0.0%
09X260,Bronx Center for Science and Mathematics,72,87.1%,19.7%,76,82.7%,43.6%,66,59.8%,21.5%,85,95.8%,82.5%,87,95.4%,77,77.9%,71,85.1%,67,66.7%,70,62.6%,80,89.5%,90,92.6%,513,73.9%,100.0%,468,73.9%,100.0%,485,73.9%,26,17.1%,100.0%,23,17.1%,100.0%,,3.6%,22,17.1%,42,25.2%,38,36.0%,100.0%,69,13.5%,100.0%,,12.6%,100.0%,73.4%,86.3%,20.2%,22.5%,25.7%,25.5%,4.6%,9.8%,17.4%,15.7%,5.5%,10.8%,0.0%,0.0%,0.0%,0.0%,67.6%,76.5%,86.5%,94.1%,72.1%,77.5%,82.0%,91.2%,53.2%,52.3%,27.0%,0.0%,0.0%,0.0%,0.0%,5.4%,0.0%
